observation_date,US Real GDP,US unemployment rate,US  10 year interest rate,US disposable income,German Real GDP,German Unemployment,German Interest rate,German disposable income,SA real GDP,SA unemployment rate,SA 3 month yield,SA retail sales
1/1/1947,2182.681,,,,,,,,,,,
4/1/1947,2176.892,,,,,,,,,,,
7/1/1947,2172.432,,,,,,,,,,,
10/1/1947,2206.452,,,,,,,,,,,
1/1/1948,2239.682,3.7,,,,,,,,,,
4/1/1948,2276.69,3.7,,,,,,,,,,
7/1/1948,2289.77,3.8,,,,,,,,,,
10/1/1948,2292.364,3.8,,,,,,,,,,
1/1/1949,2260.807,4.7,,,,,,,,,,
4/1/1949,2253.128,5.9,,,,,,,,,,
7/1/1949,2276.424,6.7,,,,,,,,,,
10/1/1949,2257.352,7,,,,,,,,,,
1/1/1950,2346.104,6.4,,,,,,,,,,
4/1/1950,2417.682,5.6,,,,,,,,,,
7/1/1950,2511.127,4.6,,,,,,,,,,
10/1/1950,2559.214,4.2,,,,,,,,,,
1/1/1951,2593.967,3.5,,,,,,,,,,
4/1/1951,2638.898,3.1,,,,,,,,,,
7/1/1951,2693.259,3.2,,,,,,,,,,
10/1/1951,2699.156,3.4,,,,,,,,,,
1/1/1952,2727.954,3.1,,,,,,,,,,
4/1/1952,2733.8,3,,,,,,,,,,
7/1/1952,2753.517,3.2,,,,,,,,,,
10/1/1952,2843.941,2.8,,,,,,,,,,
1/1/1953,2896.811,2.7,,,,,,,,,,
4/1/1953,2919.206,2.6,,,,,,,,,,
7/1/1953,2902.785,2.7,,,,,,,,,,
10/1/1953,2858.845,3.7,,,,,,,,,,
1/1/1954,2845.192,5.3,,,,,,,,,,
4/1/1954,2848.305,5.8,,,,,,,,,,
7/1/1954,2880.482,6,,,,,,,,,,
10/1/1954,2936.852,5.3,,,,,,,,,,
1/1/1955,3020.746,4.7,,,,,,,,,,
4/1/1955,3069.91,4.4,,,,,,,,,,
7/1/1955,3111.379,4.1,,,,,,,,,,
10/1/1955,3130.068,4.2,,,,,,,,,,
1/1/1956,3117.922,4,,,,,,,,,,
4/1/1956,3143.694,4.2,,,,,,,,,,
7/1/1956,3140.874,4.1,,,,,,,,,,
10/1/1956,3192.57,4.1,,,,,,,,,,
1/1/1957,3213.011,3.9,,,,,,,,,,
4/1/1957,3205.97,4.1,,,,,,,,,,
7/1/1957,3237.386,4.2,,,,,,,,,,
10/1/1957,3203.894,4.9,,,,,,,,,,
1/1/1958,3120.724,6.3,,,,,,,,,,
4/1/1958,3141.224,7.4,,,,,,,,,,
7/1/1958,3213.884,7.3,,,,,,,,,,
10/1/1958,3289.032,6.4,,,,,,,,,,
1/1/1959,3352.129,5.8,,2327.5,,,,,,,,
4/1/1959,3427.667,5.1,,2365,,,,,,,,
7/1/1959,3430.057,5.3,,2361.8,,,,,,,,
10/1/1959,3439.832,5.6,,2378.6,,,,,,,,
1/1/1960,3517.181,5.1,,2406.1,,,4.513333333,,,,,
4/1/1960,3498.246,5.2,,2421.6,,,4.826666667,,,,,
7/1/1960,3515.385,5.5,,2426.3,,,5.543333333,,,,,
10/1/1960,3470.278,6.3,,2425.2,,,5.513333333,,,,,
1/1/1961,3493.703,6.8,,2448.1,,,4.173333333,,,,,
4/1/1961,3553.021,7,,2485.3,,,3.233333333,,,,,
7/1/1961,3621.252,6.8,,2518.4,,,3.103333333,,,,,
10/1/1961,3692.289,6.2,,2567.5,,,3.863333333,,,,,
1/1/1962,3758.147,5.6,,2592.8,,,2.963333333,,,,,
4/1/1962,3792.149,5.5,,2620.8,,,3.096666667,,,,,
7/1/1962,3838.776,5.6,,2634.9,,,3.25,,,,,
10/1/1962,3851.421,5.5,,2658.3,,,4.376666667,,,,,
1/1/1963,3893.482,5.8,,2681.4,,,3.376666667,,,,,
4/1/1963,3937.183,5.7,,2706.1,,,3.663333333,,,,,
7/1/1963,4023.755,5.5,,2735.7,,,3.846666667,,,,,
10/1/1963,4050.147,5.6,,2780.2,,,5.036666667,,,,,
1/1/1964,4135.553,5.5,,2834.6,,,3.373333333,,,,,
4/1/1964,4180.592,5.2,,2911,,,3.663333333,,,,,
7/1/1964,4245.918,5,,2949,,,3.893333333,,,,,
10/1/1964,4259.046,5,,2982.5,,,5.426666667,,,,,
1/1/1965,4362.111,4.9,,3017.6,,,4.036666667,,,,,
4/1/1965,4417.225,4.7,,3051.7,,,4.67,,,,,
7/1/1965,4515.427,4.4,,3135.1,,,5.236666667,,,,,
10/1/1965,4619.458,4.1,,3198.3,,,6.596666667,,,,,
1/1/1966,4731.888,3.9,,3229.9,,,5.426666667,,,,,
4/1/1966,4748.046,3.8,,3238.5,,,6.456666667,,,,,
7/1/1966,4788.254,3.8,,3278.1,,,6.896666667,,,,,
10/1/1966,4827.537,3.7,,3316.5,,,7.726666667,,,,,
1/1/1967,4870.299,3.8,,3366.5,,,5.43,,,,,
4/1/1967,4873.287,3.8,,3393.2,,,4.05,,,,,
7/1/1967,4919.392,3.8,,3425.5,,,3.5,,,,,
10/1/1967,4956.477,3.9,,3450.5,,,4.09,,,,,
1/1/1968,5057.553,3.7,,3508,,,3.43,,,,,
4/1/1968,5142.033,3.6,,3565.7,,,3.68,,,,,
7/1/1968,5181.859,3.5,,3577.1,,,3.56,,,,,330521550.2
10/1/1968,5202.212,3.4,,3604.8,,,4.563333333,,,,,337322998.4
1/1/1969,5283.597,3.4,,3613.7,,0.7666667,3.996666667,,,,,352076698.2
4/1/1969,5299.625,3.4,,3649,,0.6666667,4.76,,,,,368351352.6
7/1/1969,5334.6,3.6,,3723.5,,0.6,6.406666667,,,,,382128736.7
10/1/1969,5308.556,3.6,,3752,,0.6,7.98,,,,,394395461.5
1/1/1970,5300.652,4.2,,3791.4,,0.5333334,9.536666667,,,,,399125272
4/1/1970,5308.164,4.8,,3838.2,,0.5666667,9.89,,,,,416417690.4
7/1/1970,5357.077,5.2,,3899.5,,0.6,9.37,,,,,423713976.2
10/1/1970,5299.672,5.8,,3890.1,,0.5666667,8.83,,,,,426327966.1
1/1/1971,5443.619,5.9,,3967.7,,0.5666667,7.476666667,,,,,442783567.1
4/1/1971,5473.059,5.9,,4025.5,,0.7,6.44,,,,,464848146.6
7/1/1971,5518.072,6,,4046.6,,0.8,7.603333333,,,,,474721421.7
10/1/1971,5531.032,5.9,,4093.8,,0.8666667,7.073333333,,,,,499868669
1/1/1972,5632.649,5.8,,4112.5,,0.8666667,4.956666667,,,,,509051545
4/1/1972,5760.47,5.7,,4155.2,,0.9666666,4.713333333,,,,,515525225.3
7/1/1972,5814.854,5.6,,4236,,1,4.923333333,,,,,540934450.1
10/1/1972,5912.22,5.4,,4405.8,,0.9666666,7.85,,,,,557684241.2
1/1/1973,6058.544,4.9,,4439.2,,0.8333333,8.206666667,,,,,587589334.1
4/1/1973,6124.506,4.9,,4476.7,,0.9666666,12.22,,,,,622286436
7/1/1973,6092.301,4.8,,4496.9,,1.1,14.37333333,,,,,661801784.9
10/1/1973,6150.131,4.8,,4546.1,,1.366667,13.77,,,,,708484096.7
1/1/1974,6097.258,5.1,,4470.8,,1.7,11.32,,,,,746568646.3
4/1/1974,6111.751,5.2,,4429.1,,2,9.543333333,,,,,794415098.5
7/1/1974,6053.978,5.6,,4433.1,,2.366667,9.606666667,,,,,842530170.2
10/1/1974,6030.464,6.6,,4427.1,,3.033333,9.14,,,,,879369778.4
1/1/1975,5957.035,8.3,,4420.5,,3.6,6.626666667,,,,,934887439.5
4/1/1975,5999.61,8.9,,4625,,4.166667,4.92,,,,,965549403.6
7/1/1975,6102.326,8.5,,4557.7,,4.333333,4.156666667,,,,,1011460974
10/1/1975,6184.53,8.3,,4593.5,,4.233333,4.133333333,,,,,1061978683
1/1/1976,6323.649,7.7,,4648.8,,4.133333,3.796666667,,,,,1108419838
4/1/1976,6370.025,7.6,,4675.3,,4.033333,3.843333333,,,,,1168262210
7/1/1976,6404.895,7.7,,4711.8,,3.9,4.53,,,,,1178500545
10/1/1976,6451.177,7.8,,4741.7,,3.8,4.823333333,,,,,1201445163
1/1/1977,6527.703,7.5,,4752.3,,3.8,4.74,,,,,1223819252
4/1/1977,6654.466,7.1,,4796.9,,3.966667,4.446666667,,,,,1206565502
7/1/1977,6774.457,6.9,,4863.5,,4,4.186666667,,,,,1247590259
10/1/1977,6774.592,6.7,,4956.5,,3.9,4.086666667,,,,,1241838302
1/1/1978,6796.26,6.3,,4995.5,,3.866667,3.516666667,,,,,1279422195
4/1/1978,7058.92,6,,5048.4,,3.833333,3.613333333,,,,,1323015450
7/1/1978,7129.915,6,,5087.6,,3.766667,3.716666667,,,,,1287562142
10/1/1978,7225.75,5.9,,5121.1,,3.633333,3.953333333,,,,,1321119679
1/1/1979,7238.727,5.9,,5182.4,,3.533333,4.17,,,,,1346484617
4/1/1979,7246.454,5.7,,5135.7,,3.333333,5.973333333,,,,,1385469589
7/1/1979,7300.281,5.9,,5159.7,,3.233333,7.273333333,,,,,1464300425
10/1/1979,7318.535,6,,5170,,3.1,9.33,,,,,1544851948
1/1/1980,7341.557,6.3,,5189.7,,3.066667,9.156666667,,,,,1618717665
4/1/1980,7190.289,7.3,,5144.3,,3.266667,10.19666667,,,,,1728042285
7/1/1980,7181.743,7.7,,5200.4,,3.466667,9.216666667,,,,,1858924336
10/1/1980,7315.677,7.4,,5270,,3.766667,9.576666667,,,,,1972165033
1/1/1981,7459.022,7.4,,5260.6,,4.133333,11.24666667,,,,7.131132479,2049858087
4/1/1981,7403.745,7.4,,5265,,4.566667,13.16,,,,8.49555942,2161326584
7/1/1981,7492.405,7.4,,5377.6,,5.1,12.78666667,,,,10.98007597,2255569580
10/1/1981,7410.768,8.2,,5381.6,,5.766667,11.22666667,,,,12.28731838,2360098936
1/1/1982,7295.631,8.8,7.46979458,5394.4,,6.2,10.2,,,,15.08039136,2390637617
4/1/1982,7328.912,9.4,7.35792224,5428,,6.5,9.263333333,,,,15.88957915,2527930351
7/1/1982,7300.896,9.9,6.98200322,5455.8,,6.933333,8.88,,,,16.31859449,2586361800
10/1/1982,7303.817,10.7,5.92903594,5475.8,,7.566667,7.17,,,,15.03037949,2668918428
1/1/1983,7400.066,10.4,5.65964428,5530.6,,8.033334,5.7,,,,11.20812284,2773331066
4/1/1983,7568.456,10.1,5.63735807,5570.2,,8.3,5.366666667,,,,11.67110368,2764252360
7/1/1983,7719.746,9.4,6.14767524,5653,,8.2,5.72,,,,14.64849478,2960248419
10/1/1983,7880.794,8.5,6.10835193,5775.8,,8.133333,6.32,,,,16.03530769,3014938543
1/1/1984,8034.847,7.9,6.25963399,5886.2,,8,5.976666667,,,,17.70023704,3118213234
4/1/1984,8173.67,7.4,6.94199399,5981.3,,8.1,6.023333333,,,,17.73278834,3317487736
7/1/1984,8252.465,7.4,7.09764903,6059.3,,8.2,5.99,,,,20.57008091,3278625764
10/1/1984,8320.199,7.3,6.25031994,6109.4,,8.133333,5.953333333,,,,21.21832265,3398334030
1/1/1985,8400.82,7.2,6.18718474,6094.9,,8.2,6.14,,,,21.85597222,3486885255
4/1/1985,8474.787,7.3,5.76162663,6216.4,,8.266666,5.846666667,,,,19.4008,3504237686
7/1/1985,8604.22,7.2,5.44910686,6199.3,,8.166667,4.946666667,,,,16.17524938,3571717996
10/1/1985,8668.188,7,5.24365187,6267.4,,8.166667,4.86,,,,13.45777035,3665136376
1/1/1986,8749.127,7,4.46008257,6352.2,,8.1,4.606666667,,,,12.10892094,3765053639
4/1/1986,8788.524,7.2,4.19312635,6432,,7.966667,4.6,,,,11.12609744,3904304286
7/1/1986,8872.601,7,3.82177832,6468,,7.766667,4.596666667,,,,9.929795821,4126703632
10/1/1986,8920.193,6.8,3.71822511,6468.8,,7.7,4.736666667,,,,8.906359402,4196665424
1/1/1987,8986.367,6.6,3.57931084,6516.6,,7.833333,4.203333333,,,,8.793087607,4427464707
4/1/1987,9083.256,6.3,4.15077541,6449,,7.866667,3.816666667,,,,8.711008696,4612785825
7/1/1987,9162.024,6,4.45398686,6565,,7.9,3.966666667,,,,8.762820513,4809151402
10/1/1987,9319.332,5.8,4.68798301,6659.7,,7.933333,4.143333333,,,,8.868473077,5093071101
1/1/1988,9367.502,5.7,4.24883092,6769.3,,7.933333,3.423333333,,,,9.930622222,5354181864
4/1/1988,9490.594,5.5,4.5212363,6846.8,,7.9,3.646666667,,,,11.56881271,5572674520
7/1/1988,9546.206,5.5,4.56198594,6916.3,,7.766667,5.106666667,,,,12.74238841,5935048169
10/1/1988,9673.405,5.3,4.4795516,6982.3,,7.5,5.146666667,,,,14.73355385,6192683932
1/1/1989,9771.725,5.2,4.85626527,7057.7,,7.2,6.266666667,,,,15.64972778,6521447754
4/1/1989,9846.293,5.2,4.63729272,7034.6,,7.166667,6.84,,,,16.97192308,6788929124
7/1/1989,9919.228,5.2,4.0063668,7080.9,,7,7.19,,,,17.18590218,7045422894
10/1/1989,9938.767,5.4,4.1189947,7141.8,,7,8.176666667,,,,17.92687982,7309671286
1/1/1990,10047.386,5.3,4.34883947,7198.9,,6.7,8.363333333,,,,17.98881173,7635622994
4/1/1990,10083.855,5.3,4.57994496,7252.2,,6.533333,8.3,,,,17.98995726,8110225404
7/1/1990,10090.569,5.7,4.30369842,7253.2,,6.3,8.393333333,,,,17.6931396,8413264568
10/1/1990,9998.704,6.1,4.0511049,7195.1,,6,8.896666667,,,,17.55430556,8628779023
1/1/1991,9951.916,6.6,4.00194038,7217.2,517733.8,5.666667,9.173333333,158.708,,,17.12727692,8836359372
4/1/1991,10029.51,6.8,4.11579789,7271.4,515466.2,5.6,9.106666667,170.852,,,16.71511667,9090816357
7/1/1991,10080.195,6.9,4.08022223,7299.3,514515.3,5.7,9.243333333,177.443,,,16.65234074,9462129473
10/1/1991,10115.329,7.1,3.53775108,7356.7,521756.9,6.2,9.463333333,205.808,,,16.25666667,9415545422
1/1/1992,10236.435,7.4,3.49569967,7498.6,529126.3,7.466667,9.613333333,173.51,,,15.79399487,9666880628
4/1/1992,10347.429,7.6,3.7015355,7568.9,525907.9,7.566667,9.763333333,183.706,,,14.48672241,10068419846
7/1/1992,10449.673,7.6,3.14508813,7601.8,524518.2,7.8,9.72,195.045,,,12.74772555,10154131749
10/1/1992,10558.648,7.4,3.18745417,7635.3,522982.2,8,8.973333333,220.238,,,12.05036197,10394377132
1/1/1993,10576.275,7.1,2.98203954,7664.5,518885.9,8.3,8.323333333,180.856,570937.3125,,11.52996543,10711135620
4/1/1993,10637.847,7.1,2.73349163,7688.4,519105.3,8.666667,7.676666667,189.843,574835.375,,11.50554627,10597768263
7/1/1993,10688.606,6.8,2.58176085,7694.7,522031.1,9.233334,6.826666667,197.176,582207,,11.68905033,11070073858
10/1/1993,10833.987,6.6,2.56041833,7748.1,521665.4,9.6,6.353333333,225.068,587176.125,,10.56657436,11493410765
1/1/1994,10939.116,6.6,2.78801891,7798.6,528925.3,9.7,5.88,185.958,586899.375,,10.14814877,11856512782
4/1/1994,11087.361,6.2,3.62577513,7876.4,531997.5,9.766666,5.286666667,191.514,592625.5,,10.61837448,12127597097
7/1/1994,11152.176,6,3.66793598,7922.8,535069.6,9.6,5.013333333,199.647,599289.6875,,10.77859924,12546585367
10/1/1994,11279.932,5.6,4.05894296,8036.2,541067.7,9.333333,5.276666667,229.555,610426.1875,,12.14574359,12882651578
1/1/1995,11319.951,5.5,4.00675751,8104.1,538891.4,9.2,5.11,190.519,611952,,12.86652308,13351506299
4/1/1995,11353.721,5.7,3.32670699,8126.5,543280.4,9.333333,4.6,199.059,613711.1875,,13.49664709,14028514142
7/1/1995,11450.31,5.7,3.03470572,8200.1,544231.3,9.5,4.403333333,206.842,617783,,13.94584103,14176592663
10/1/1995,11528.067,5.6,2.87203576,8246.7,544450.7,9.766666,4.013333333,236.166,619861,,13.79953177,14811212372
1/1/1996,11614.418,5.5,2.7142481,8323.4,540610.8,10.16667,3.44,195.066,631343.875,,14.02862308,14128027510
4/1/1996,11808.14,5.5,3.30248019,8398.6,548144.6,10.3,3.336666667,201.023,638865.5,,15.32171776,15016513979
7/1/1996,11914.063,5.3,3.40649934,8464.2,550046.4,10.43333,3.263333333,208.874,646477.5,,15.39290717,15742794676
10/1/1996,12037.775,5.3,3.13697711,8507,555020.2,10.7,3.18,236.22,652542.5,,15.40103803,16273277579
1/1/1997,12115.472,5.2,3.25893283,8584.9,552387.4,11.23333,3.196666667,194.779,655571.8125,,15.94417689,15929195181
4/1/1997,12317.221,5,3.42218762,8658.7,558604.7,11.36667,3.18,201.008,659684.875,,15.63785427,16727759882
7/1/1997,12471.01,4.9,3.14641928,8761.1,560579.6,11.6,3.236666667,207.904,660340.8125,,14.86146667,16741503771
10/1/1997,12577.495,4.7,2.96979954,8890.4,564748.8,11.73333,3.686666667,236.184,660432,,14.58374383,17509116455
1/1/1998,12703.742,4.6,2.82329417,9079.5,570308.1,11.6,3.533333333,196.617,662167,,13.88837778,17113552307
4/1/1998,12821.339,4.4,2.87003509,9206.8,567674.9,11.16667,3.606666667,205.172,663103.5,,13.98482319,16794937767
7/1/1998,12982.752,4.5,2.68209503,9298.3,570308.1,10.8,3.51,213.344,661651,,20.12437037,16920226045
10/1/1998,13191.67,4.4,2.12858525,9367.9,570161.8,10.66667,3.526666667,241.975,662288.125,,18.13773333,17001486458
1/1/1999,13315.597,4.3,2.46203382,9468.1,576927.8,10.66667,3.090731884,202.074,668653.125,,15.52371538,17661931246
4/1/1999,13426.748,4.3,2.8328637,9474.5,576196.3,10.53333,2.634029582,212.007,673974.875,,13.50904505,17456366698
7/1/1999,13604.771,4.2,3.09219018,9541.6,583950.1,10.5,2.699393939,219.757,681334,,11.65183654,17904529303
10/1/1999,13827.98,4.1,3.16079296,9665.2,586729.8,10.4,3.42979798,248.662,688828.625,,10.72443924,18077522157
1/1/2000,13878.147,4,3.45491396,9833.9,596001,10.13333,3.54231608,210.499,696879.875,,9.928461538,18751269806
4/1/2000,14130.908,3.9,3.23046355,9950.2,600609.2,9.533334,4.263016835,219.196,703291.125,,10.12951655,19041468702
7/1/2000,14145.312,4,2.9979881,10081.5,600975,9.466666,4.737600414,227.713,710256.375,,10.18129231,19226109407
10/1/2000,14229.765,3.9,2.78299131,10149,598414.8,9.333333,5.024128389,257.19,716300.375,,10.20280886,19694347345
1/1/2001,14183.12,4.2,2.26191388,10229.8,611307,9.3,4.745054545,216.724,720702.1875,,10.14498932,20074215387
